name,address,num_of_stations,coordinates
,,0,"43.650279,-79.356832"
,,0,"43.652686,-79.358395"
Osgoode SUBWAY Station,250 University Ave,3,"43.649147,-79.395504"
St Patrick Subway Station,449 University Ave,3,"43.649147,-79.395504"
St Patrick Subway Station,147 University Ave,3,"43.649147,-79.395504"
Union Subway Station,55 Front St E,3,"43.643795,-79.375413"
King Subway Station,70 Yonge St,3,"43.643795,-79.375413"
St Patrick Subway Station,147 University Ave,3,"43.643795,-79.375413"
Queen's Park Subway Station,505 University Ave,3,"43.662085,-79.397735"
St. George Subway Station,323 Bloor St W,3,"43.662085,-79.397735"
Spadina Subway Station,371 Bloor St W,3,"43.662085,-79.397735"
,,0,"43.659575,-79.365769"
,,0,"43.65205,-79.362198"
St. George Subway Station,323 Bloor St W,7,"43.668456,-79.393899"
Bloor-Yonge Subway Station,20 Bloor St E,7,"43.668456,-79.393899"
Spadina Subway Station,371 Bloor St W,7,"43.668456,-79.393899"
Wellesley Subway Station,551 Yonge St,7,"43.668456,-79.393899"
Spadina Station North Entrance,68 Spadina Rd,7,"43.668456,-79.393899"
Queen's Park Subway Station,505 University Ave,7,"43.668456,-79.393899"
Rosedale Subway Station,1009 Yonge St,7,"43.668456,-79.393899"
,,0,"43.639052,-79.399792"
,,0,"43.6448617,-79.42822"
,,0,"43.6563888888889,-79.4091666666667"
,,0,"43.6409,-79.432837"
,,0,"43.6430555555556,-79.4275"
,,0,"43.660414,-79.415646"
Spadina Subway Station,371 Bloor St W,3,"43.661975,-79.407896"
Spadina Station North Entrance,68 Spadina Rd,3,"43.661975,-79.407896"
St. George Subway Station,323 Bloor St W,3,"43.661975,-79.407896"
,,0,"43.65905,-79.422988"
Spadina Subway Station,371 Bloor St W,1,"43.66,-79.4088888888889"
Coxwell Subway Station,1568 Danforth Ave,2,"43.690564,-79.326319"
Greenwood Subway Station,1177 Danforth Ave,2,"43.690564,-79.326319"
Coxwell Subway Station,1568 Danforth Ave,1,"43.686829,-79.311073"
,,0,"43.688325,-79.300463"
Dundas West Subway Station,1525 Bloor St W,1,"43.65716,-79.46478"
,,0,"43.6525077,-79.4654233"
Broadview Subway Station,90 Danforth Ave,2,"43.6772,-79.35858"
Chester Subway Station,22 Chester Ave,2,"43.6772,-79.35858"
Wellesley Subway Station,551 Yonge St,3,"43.662712,-79.379903"
Dundas Subway Station,300 Yonge St,3,"43.662712,-79.379903"
Queen's Park Subway Station,505 University Ave,3,"43.662712,-79.379903"
Dundas Subway Station,300 Yonge St,5,"43.658938,-79.383518"
Queen's Park Subway Station,505 University Ave,5,"43.658938,-79.383518"
St Patrick Subway Station,449 University Ave,5,"43.658938,-79.383518"
Wellesley Subway Station,551 Yonge St,5,"43.658938,-79.383518"
Osgoode SUBWAY Station,250 University Ave,5,"43.658938,-79.383518"
Coxwell Subway Station,1568 Danforth Ave,2,"43.683378,-79.322961"
Greenwood Subway Station,1177 Danforth Ave,2,"43.683378,-79.322961"
Union Subway Station,55 Front St E,3,"43.6425636,-79.3762"
King Subway Station,70 Yonge St,3,"43.6425636,-79.3762"
St Patrick Subway Station,147 University Ave,3,"43.6425636,-79.3762"
Dundas West Subway Station,1525 Bloor St W,3,"43.6521,-79.4486"
Bloor-Danforth Subway Line,,3,"43.6521,-79.4486"
Lansdowne Subway Station,1287 Bloor St W,3,"43.6521,-79.4486"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.669969,-79.386532"
Wellesley Subway Station,551 Yonge St,4,"43.669969,-79.386532"
Rosedale Subway Station,1009 Yonge St,4,"43.669969,-79.386532"
Sherbourne Subway Station,420 Bloor St E,4,"43.669969,-79.386532"
,,0,"43.633473,-79.425679"
,,0,"43.630254,-79.420317"
,,0,"43.662403,-79.423098"
,,0,"43.656945,-79.424911"
,,0,"43.6817346,-79.4184725"
,,0,"43.683296,-79.418734"
,,0,"43.673831,-79.281455"
,,0,"43.666325,-79.3014"
,,0,"43.651145,-79.423742"
St Patrick Subway Station,449 University Ave,2,"43.654905,-79.398448"
Queen's Park Subway Station,505 University Ave,2,"43.654905,-79.398448"
King Subway Station,70 Yonge St,1,"43.651118,-79.369411"
,,0,"43.6571,-79.4056"
Osgoode SUBWAY Station,250 University Ave,3,"43.650033,-79.396555"
St Patrick Subway Station,449 University Ave,3,"43.650033,-79.396555"
St Patrick Subway Station,147 University Ave,3,"43.650033,-79.396555"
St Patrick Subway Station,449 University Ave,4,"43.652823,-79.393388"
Osgoode SUBWAY Station,250 University Ave,4,"43.652823,-79.393388"
Queen's Park Subway Station,505 University Ave,4,"43.652823,-79.393388"
St Patrick Subway Station,147 University Ave,4,"43.652823,-79.393388"
Wellesley Subway Station,551 Yonge St,3,"43.665527,-79.387499"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.665527,-79.387499"
Queen's Park Subway Station,505 University Ave,3,"43.665527,-79.387499"
Dundas Subway Station,300 Yonge St,2,"43.6582,-79.3768"
Wellesley Subway Station,551 Yonge St,2,"43.6582,-79.3768"
Broadview Subway Station,90 Danforth Ave,2,"43.671172,-79.354704"
Chester Subway Station,22 Chester Ave,2,"43.671172,-79.354704"
Broadview Subway Station,90 Danforth Ave,2,"43.677076,-79.35667"
Chester Subway Station,22 Chester Ave,2,"43.677076,-79.35667"
Pape Subway Station,743 Pape Ave,3,"43.680223,-79.344062"
Donlands Subway Station,990 Danforth Ave,3,"43.680223,-79.344062"
Chester Subway Station,22 Chester Ave,3,"43.680223,-79.344062"
Pape Subway Station,743 Pape Ave,4,"43.678401,-79.346289"
Chester Subway Station,22 Chester Ave,4,"43.678401,-79.346289"
Donlands Subway Station,990 Danforth Ave,4,"43.678401,-79.346289"
Broadview Subway Station,90 Danforth Ave,4,"43.678401,-79.346289"
Greenwood Subway Station,1177 Danforth Ave,3,"43.681991,-79.329455"
Donlands Subway Station,990 Danforth Ave,3,"43.681991,-79.329455"
Coxwell Subway Station,1568 Danforth Ave,3,"43.681991,-79.329455"
,,0,"43.6422222,-79.41111111111111"
Spadina Subway Station,371 Bloor St W,3,"43.663808,-79.410491"
Spadina Station North Entrance,68 Spadina Rd,3,"43.663808,-79.410491"
St. George Subway Station,323 Bloor St W,3,"43.663808,-79.410491"
Spadina Station North Entrance,68 Spadina Rd,3,"43.6666667,-79.41166666666668"
Spadina Subway Station,371 Bloor St W,3,"43.6666667,-79.41166666666668"
St. George Subway Station,323 Bloor St W,3,"43.6666667,-79.41166666666668"
,,0,"43.6638889,-79.41888888888889"
,,0,"43.661705,-79.425734"
,,0,"43.6686111,-79.42027777777778"
,,0,"43.665327,-79.43235"
Bloor-Danforth Subway Line,,2,"43.657343,-79.43112"
Lansdowne Subway Station,1287 Bloor St W,2,"43.657343,-79.43112"
,,0,"43.645324,-79.40345"
,,0,"43.650256,-79.36163"
,,0,"43.65111111111111,-79.4213888888889"
,,0,"43.656296,-79.414663"
,,0,"43.649722,-79.416944"
,,0,"43.651281,-79.411717"
,,0,"43.65277778,-79.42972222"
,,0,"43.655,-79.418889"
,,0,"43.668553,-79.338673"
,,0,"43.663912,-79.327987"
St Patrick Subway Station,147 University Ave,5,"43.6462176,-79.3855048"
Union Subway Station,55 Front St E,5,"43.6462176,-79.3855048"
Osgoode SUBWAY Station,250 University Ave,5,"43.6462176,-79.3855048"
King Subway Station,70 Yonge St,5,"43.6462176,-79.3855048"
St Patrick Subway Station,449 University Ave,5,"43.6462176,-79.3855048"
,,0,"43.69595,-79.328535"
Pape Subway Station,743 Pape Ave,4,"43.6753188,-79.3462789"
Chester Subway Station,22 Chester Ave,4,"43.6753188,-79.3462789"
Donlands Subway Station,990 Danforth Ave,4,"43.6753188,-79.3462789"
Broadview Subway Station,90 Danforth Ave,4,"43.6753188,-79.3462789"
Chester Subway Station,22 Chester Ave,2,"43.6720273,-79.3470557"
Pape Subway Station,743 Pape Ave,2,"43.6720273,-79.3470557"
,,0,"43.637981,-79.424146"
,,0,"43.640885,-79.416379"
,,0,"43.6552778,-79.36583333333333"
Sherbourne Subway Station,420 Bloor St E,3,"43.6712581,-79.376367"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.6712581,-79.376367"
