name,address,yelp_num_stations,coordinates
Queen Subway Station,8 Queen Street W,5.0,"43.6509552,-79.3707"
Union Station,65 Front Street W,6.0,"43.652777,-79.372637"
VIA Rail Canada,65 Front Street  W,6.0,"43.652777,-79.372637"
Queen Station,171 Yonge Street,6.0,"43.652777,-79.372637"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.652777,-79.372637"
King Station,3 King Street E,6.0,"43.652777,-79.372637"
Queen Subway Station,8 Queen Street W,6.0,"43.652777,-79.372637"
Bloor GO Station,1456 Bloor Street W,1.0,"43.665538,-79.451263"
Union Station,65 Front Street W,5.0,"43.650325,-79.372287"
VIA Rail Canada,65 Front Street  W,5.0,"43.650325,-79.372287"
Queen Station,171 Yonge Street,5.0,"43.650325,-79.372287"
King Station,3 King Street E,5.0,"43.650325,-79.372287"
Queen Subway Station,8 Queen Street W,5.0,"43.650325,-79.372287"
Museum Subway Station,75 Queen's Park,5.0,"43.66943,-79.38915"
Bloor-Yonge Subway Station,20 Bloor Street E,5.0,"43.66943,-79.38915"
Wellesley Subway Station,16 Wellesley Street E,5.0,"43.66943,-79.38915"
Dundas Station,"Toronto, ON M5B 1J3",5.0,"43.66943,-79.38915"
Bay Subway Station,1240 Bay Street,5.0,"43.66943,-79.38915"
Museum Subway Station,75 Queen's Park,5.0,"43.669244,-79.3894"
Bloor-Yonge Subway Station,20 Bloor Street E,5.0,"43.669244,-79.3894"
Wellesley Subway Station,16 Wellesley Street E,5.0,"43.669244,-79.3894"
Dundas Station,"Toronto, ON M5B 1J3",5.0,"43.669244,-79.3894"
Bay Subway Station,1240 Bay Street,5.0,"43.669244,-79.3894"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.688526,-79.412903"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.683351,-79.41562"
Dundas Station,"Toronto, ON M5B 1J3",5.0,"43.6574766,-79.373446"
Wellesley Subway Station,16 Wellesley Street E,5.0,"43.6574766,-79.373446"
Queen Station,171 Yonge Street,5.0,"43.6574766,-79.373446"
King Station,3 King Street E,5.0,"43.6574766,-79.373446"
Queen Subway Station,8 Queen Street W,5.0,"43.6574766,-79.373446"
Union Station,65 Front Street W,6.0,"43.647259,-79.379878"
VIA Rail Canada,65 Front Street  W,6.0,"43.647259,-79.379878"
King Station,3 King Street E,6.0,"43.647259,-79.379878"
Queen Station,171 Yonge Street,6.0,"43.647259,-79.379878"
St Patrick Subway Station,449 University Avenue,6.0,"43.647259,-79.379878"
Queen Subway Station,8 Queen Street W,6.0,"43.647259,-79.379878"
Union Station,65 Front Street W,5.0,"43.65003919999999,-79.3733541"
VIA Rail Canada,65 Front Street  W,5.0,"43.65003919999999,-79.3733541"
Queen Station,171 Yonge Street,5.0,"43.65003919999999,-79.3733541"
King Station,3 King Street E,5.0,"43.65003919999999,-79.3733541"
Queen Subway Station,8 Queen Street W,5.0,"43.65003919999999,-79.3733541"
Union Station,65 Front Street W,8.0,"43.653264,-79.382458"
VIA Rail Canada,65 Front Street  W,8.0,"43.653264,-79.382458"
St Patrick Subway Station,449 University Avenue,8.0,"43.653264,-79.382458"
Queen Station,171 Yonge Street,8.0,"43.653264,-79.382458"
Dundas Station,"Toronto, ON M5B 1J3",8.0,"43.653264,-79.382458"
King Station,3 King Street E,8.0,"43.653264,-79.382458"
Queen's Park Subway Station,129 College Street,8.0,"43.653264,-79.382458"
Queen Subway Station,8 Queen Street W,8.0,"43.653264,-79.382458"
