name,address,rating,total_photos,total_ratings,num_of_res,coordinates
Dumpling House Restaurant,328 Spadina Ave,8.0,190.0,223.0,50.0,"43.657763,-79.389165"
Fat Bastard Burrito Co,187 College St,7.5,4.0,22.0,50.0,"43.657763,-79.389165"
Bangkok Garden Restaurant,18 Elm St,7.6,29.0,64.0,50.0,"43.657763,-79.389165"
Leña Restaurante,176 Yonge St,8.1,98.0,108.0,50.0,"43.657763,-79.389165"
W Burger Bar,10 College St,7.6,136.0,164.0,50.0,"43.657763,-79.389165"
New Sky Restaurant,353 Spadina Ave,7.8,48.0,55.0,50.0,"43.657763,-79.389165"
The 3 Brewers,275 Yonge St,7.7,657.0,613.0,50.0,"43.657763,-79.389165"
Coffee Island,925 Bay St,7.6,25.0,24.0,50.0,"43.657763,-79.389165"
Pho Hung Restaurant,350 Spadina Ave,7.8,165.0,247.0,50.0,"43.657763,-79.389165"
Mother's Dumplings,421 Spadina Ave,7.7,219.0,334.0,50.0,"43.657763,-79.389165"
Juicy Dumpling,280 Spadina Ave,7.6,46.0,58.0,50.0,"43.657763,-79.389165"
Jack Astor's,10 Dundas St E,7.4,589.0,437.0,50.0,"43.657763,-79.389165"
Fran's Restaurant,20 College St,7.3,268.0,278.0,50.0,"43.657763,-79.389165"
South St. Burger,360 Bay St,7.6,9.0,37.0,50.0,"43.657763,-79.389165"
Rosewood Chinese Cuisine,463 Dundas St W,7.3,68.0,83.0,50.0,"43.657763,-79.389165"
House of Gourmet,484 Dundas St W,7.2,177.0,186.0,50.0,"43.657763,-79.389165"
Katsuya,66 Gerrard St E,7.2,24.0,23.0,50.0,"43.657763,-79.389165"
King's Noodle House,296 Spadina Ave,7.2,179.0,187.0,50.0,"43.657763,-79.389165"
Rol San Restaurant,323 Spadina Ave,7.1,223.0,303.0,50.0,"43.657763,-79.389165"
R&D,241 Spadina Ave,7.1,75.0,62.0,50.0,"43.657763,-79.389165"
Fran's Restaurant,200 Victoria St,7.1,208.0,239.0,50.0,"43.657763,-79.389165"
